V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
0,0,0,0,0,0,0,0.24028885565058278,0.08367087156641706,0,0,0,0,0,0,0,0,0.38023246034070646,0,0.040542565148652246,0,0,0,0,0,0,0.11945404331369724,0.0691361080104959,0.04256524117496857,0,0,0,0,0,0,0,0
0,0.11182843563080688,0,0,0,0,0.16151301490338332,0,0.04223762771265539,0.08116842602982727,0,0.08731338323355187,0,0,0.13089427749198448,0.12845161661301657,0.05897513779700332,0.28435501410034775,0.040542565148652246,0,0,0,0.02406718185189627,0.023578864712322165,0,0.04008668218511825,0.04027974993675257,0,0.0689687872222373,0.2335513338898234,0.1274901641423855,0,0.05459400904278401,0,0,0,0
0,0.10591969295283168,0,0,0,0.10983733833582246,0,0,0.018973771481212563,0,0.06981684302283411,0.18820996310197935,0.06289230552768174,0.2564991158272908,0,0.07548383567275248,0.4495865308596132,0,0,0,0,0.06960791289276469,0,0,0,0,0,0,0.06310120442218731,0,0,0,0.06944078303043749,0.037024834701140714,0,0,0
0.049832121404912125,0.3215643333704511,0,0.09025274371789521,0,0,0,0,0.06610075781311318,0,0,0,0,0,0,0,0,0,0,0,0.06960791289276469,0,0,0,0,0,0,0,0.06902334177713684,0.061458472477900046,0,0,0,0,0,0,0
0,0.12075026106488848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02406718185189627,0,0,0,0.3528210024251709,0,0.23959044341596966,0.02410885934523858,0.03801822683417372,0,0.051118885279018256,0,0,0,0,0,0,0
0.0201497157943243,0.15172228586002107,0.07676930969543247,0.07629534867271556,0,0,0,0,0.032335048612735715,0,0,0,0,0,0,0,0,0,0,0.023578864712322165,0,0,0.3528210024251709,0,0.15337302928084662,0.19147112715234926,0.11254783626316842,0.03487090108566209,0.12197460368156918,0.07461000863501108,0,0,0,0.056127997657321696,0,0,0
0.006939017801927258,0,0,0.08767708574882102,0,0,0,0.06605015275077428,0.024329396589864365,0,0,0,0.13194261775572763,0,0,0,0,0,0,0,0,0,0,0.15337302928084662,0,0,0,0.03312009662686506,0.20378125371250586,0.25169370283584147,0,0,0,0,0,0,0.04700552219595201
0.01704729772064068,0.08683930487390343,0,0,0,0,0,0.07357413222468727,0,0,0,0,0,0,0,0,0,0,0,0.04008668218511825,0,0,0.23959044341596966,0.19147112715234926,0,0,0.18325201225194454,0.05346594412190566,0,0.09592255110062459,0,0,0,0,0,0,0
0,0,0.10329907442650776,0,0,0,0,0,0.015246698881752984,0,0,0,0,0,0,0,0,0.1108826077325349,0.11945404331369724,0.04027974993675257,0,0,0.02410885934523858,0.11254783626316842,0,0.18325201225194454,0,0.1817921353669401,0.09328751037820944,0.07774600939423126,0,0,0,0,0,0,0
0.016686611297262698,0,0,0.07683247980987715,0,0,0,0,0.017129753382485548,0,0,0,0,0,0,0,0,0.056281212843941275,0.0691361080104959,0,0,0,0.03801822683417372,0.03487090108566209,0.03312009662686506,0.05346594412190566,0.1817921353669401,0,0,0.058883622214942456,0,0.03797019261530528,0,0,0.08004962056717602,0.045366566174116316,0
0,0.13982659986383816,0,0,0,0,0,0,0.011940472975427604,0,0,0,0.11130392335402939,0,0.0926885345152275,0,0,0,0.04256524117496857,0.0689687872222373,0.06310120442218731,0.06902334177713684,0,0.12197460368156918,0.20378125371250586,0,0.09328751037820944,0,0,0.17425158184238726,0.09223962637059441,0.06841494049151235,0,0.13310485799181532,0.10032319496341645,0.05239123214766181,0
0,0,0,0,0,0,0,0,0.025139351711983643,0.09404422782311622,0,0,0,0.16970598106281387,0,0.0431338096783361,0.041047905899112114,0.0624007404563197,0,0.2335513338898234,0,0.061458472477900046,0.051118885279018256,0.07461000863501108,0.25169370283584147,0.09592255110062459,0.07774600939423126,0.058883622214942456,0.17425158184238726,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.35440666152839195,0,0,0,0,0,0,0,0,0,0,0.1274901641423855,0,0,0,0,0,0,0,0,0.09223962637059441,0,0,0.13857071989770586,0.08388155115482723,0.04383685009884848,0,0,0.23171945326694757
0.018605924567551474,0,0,0,0,0,0,0,0.029407260791199166,0,0,0,0,0,0,0,0,0.08833281756674832,0,0,0,0,0,0,0,0,0,0.03797019261530528,0.06841494049151235,0,0.13857071989770586,0,0.30137234989010064,0,0.17061343664395562,0.14641559395981463,0.06594021260651786
0,0.1238702386919443,0.07908365997061234,0,0,0,0,0.06854497405669337,0.01921048858592666,0,0,0,0,0,0,0.05186091859647694,0,0.058048535919112895,0,0.05459400904278401,0.06944078303043749,0,0,0,0,0,0,0,0,0,0.08388155115482723,0.30137234989010064,0,0.25813528696086663,0.04322983026320634,0,0.067876969127354
0,0,0,0,0,0,0,0,0.03627660967734948,0,0,0,0,0,0,0.05178166508570996,0,0,0,0,0.037024834701140714,0,0,0.056127997657321696,0,0,0,0,0.13310485799181532,0,0.04383685009884848,0,0.25813528696086663,0,0.3029637312207365,0.07968934146234327,0.0541155015405154
0,0,0,0.02456124158401325,0,0,0,0,0,0,0,0,0.09575845519736328,0.4161354413057704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08004962056717602,0.10032319496341645,0,0,0.17061343664395562,0.04322983026320634,0.3029637312207365,0,0.4056818449592509,0.07313866724545734
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045366566174116316,0.05239123214766181,0,0,0.14641559395981463,0,0.07968934146234327,0.4056818449592509,0,0.36787319747663805
0,0,0,0.09610672146477958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04700552219595201,0,0,0,0,0,0.23171945326694757,0.06594021260651786,0.067876969127354,0.0541155015405154,0.07313866724545734,0.36787319747663805,0
