V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
0,0.03368796166654864,0.051326788651000765,0.09547846931081966,0,0.1742991023454219,0.06335731214489787,0.13470990041282685,0.18307012956005753,0,0,0,0,0,0,0,0.06838185669249383,0.009000474503196576,0,0,0.06132954657740199,0,0,0.02553514688751992,0.08870148581577328,0,0.012162478948690767,0.015073461014002289,0,0,0.01257162389661608,0.020502818855406075,0,0
0.03368796166654864,0,0.37395630359817367,0.9339141057737075,0.42265949244059037,0,0.27464578600872447,0,0.2748480563632012,0.40740055089833416,0.0784789128980282,0.19681515308586273,0,0,0,0.09272362499654727,0,0.14781228642012256,0,0,0.1560095027436763,0,0,0,0,0.19877480680465998,0,0,0,0.1340740169860031,0,0,0,0
0.051326788651000765,0.37395630359817367,0,0.8541109140789285,0.19611352932991577,0,0,0.4295700369088009,0.12015051314300143,0.2749842432699301,0.3355691730314512,0,0.0874134186553027,0,0,0.0833816866793603,0.08065601533103339,0,0.05998703045156349,0,0.06901818437192861,0.11823313813832817,0,0,0.07062647693727836,0,0,0,0,0.0970472832796407,0,0.06360372482263452,0,0.10131379588409144
0.09547846931081966,0.9339141057737075,0.8541109140789285,0,0.46507831708983466,0.1539350159631077,0.8630732075122989,0.12169170871347684,0.40643436516263437,0,0,0.14102685350708702,0,0,0,0,0,0.032334112577701975,0.05993784138204308,0,0,0.03587546910631276,0,0,0,0,0.048456646921068075,0.04630063748633538,0,0,0.028245337151761692,0,0.04251362591975696,0.2782118778757469
0,0.42265949244059037,0.19611352932991577,0.46507831708983466,0,0.9197468139773166,0,0.21043306385260357,0.10945271021022071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1742991023454219,0,0,0.1539350159631077,0.9197468139773166,0,0,0.2728590863420956,0.23929675308881734,0,0,0,0.09050991728683228,0,0,0,0.09281449606065822,0,0.06001953209729582,0,0,0,0,0,0.06553008605800045,0,0,0,0,0,0,0,0,0.08768286742500599
0.06335731214489787,0.27464578600872447,0,0.8630732075122989,0,0,0,1.266009547439674,0.7791503432174487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13470990041282685,0,0.4295700369088009,0.12169170871347684,0.21043306385260357,0.2728590863420956,1.266009547439674,0,0.025880534574606952,0,0,0,0,0,0,0,0.1898027118433859,0,0,0,0,0,0,0.07892325973503675,0,0,0,0,0,0,0,0,0,0
0.18307012956005753,0.2748480563632012,0.12015051314300143,0.40643436516263437,0.10945271021022071,0.23929675308881734,0.7791503432174487,0.025880534574606952,0,0,0,0.040886485427624485,0.06373917626918334,0.006541681589305108,0,0.0038701618140255713,0.08149601213963448,0.05112776404950622,0.005831381806358406,0.027129470281308674,0.044111910913365984,0.011571551210440598,0.026670855911063475,0.018697777036370777,0.027109253767638092,0.029137549374661467,0.008514593492267134,0.23590182741153845,0.015126244333122292,0.03794033050263766,0,0,0.01206060006388894,0.006607888823347324
0,0.40740055089833416,0.2749842432699301,0,0,0,0,0,0,0,1.0068485362550894,0.2517858565790802,0,0,0,0,0,0.06946222297049735,0.14626300730124425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
